,";",".","program","id",",","const","+","-","num","'","letter","array","[","]","of","integer","real","boolean","char","digits","..","epsilon","procedure","function","(",")","var","begin","end","assignop","if","then","else","for","to","do","read","write","relop","addop","mulop","not","uminus",":","=","record","while","repeat","until","$","program_struct","program_head","program_body","idlist","const_declarations","const_declaration","const_value","var_declarations","var_declaration","type","basic_type","period","subprogram_declarations","subprogram","subprogram_head","subprogram_body","formal_parameter","parameter_list","parameter","var_parameter","value_parameter","compound_statement","statement_list","statement","variable_list","variable","id_varpart","procedure_call","else_part","expression_list","expression","simple_expression","term","factor","record_type","field_declarations",
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R73,,,R73,R73,S209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R75,,,R75,R75,R75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,S211,,,,,,,,,,,S212,,,,,,,,,,,,S213,,,,,,,,,,,R63,,,R63,R63,R63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,
107,,,,S106,,,,S107,S108,S109,,,,,,,,,,,,,,,S110,,,,,,,,,,,,,,,,,S111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,214,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R76,,,R76,R76,R76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,S215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,S194,,,,S195,S196,S197,,,,,,,,,,,,,,,S198,,,,,,,,,,,,,,,,,S199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,,216,191,192,193,,,
111,,,,S106,,,,S107,S108,S109,,,,,,,,,,,,,,,S110,,,,,,,,,,,,,,,,,S111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,217,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,S83,,,,,,,,,,,S84,,,,,,,,,,,,S220,,,,,R63,,,,,,,,,,,,,,,,,,,R64,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,
117,R57,,,S50,,,,,,,,,,,,,,,,,,,,,,,,S51,R57,,S52,,,S53,,,S54,S55,,,,,,,,,S56,S57,,,,,,,,,,,,,,,,,,,,,,,,45,221,47,,48,,49,,,,,,,,,
118,,,,S92,,,,S93,S94,S95,,,,,,,,,,,,,,,S96,,,,,,,,,,,,,,,,,S97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,222,89,90,91,,,
119,,,,S223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,S224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,S225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,S106,,,,S107,S108,S109,,,,,,,,,,,,,,,S110,,,,,,,,,,,,,,,,,S111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,226,103,104,105,,,
123,,,,S116,,,,,,,,,,,,,,,,,,,,,,,,S117,,,S118,,,S119,,,S120,S121,,,,,,,,,S122,S123,R57,,,,,,,,,,,,,,,,,,,,,,,112,,227,,114,,115,,,,,,,,,
124,,,,,,,,,S229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,S31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,S231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
